CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65915_s.bmp,1,lateral,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65917_s.bmp,1,lateral,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65916_s.bmp,2,,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65918_s.bmp,2,,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65925_s.bmp,3,,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65923_s.bmp,4,,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65921_s.bmp,4,,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65926_s.bmp,5,lateral,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65924_s.bmp,6,,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65919_s.bmp,6,,,
CG10119,LamC,LamC,FBgn0010397,PC00101,picdata/32/insitu65920_s.bmp,6,,,
CG10120,Men,Men,FBgn0002719,LD27718-dg,picdata/35/insitu67517_s.bmp,1,lateral,,low
CG10120,Men,Men,FBgn0002719,LD27718-dg,picdata/35/insitu67519_s.bmp,2,dorsal,,low
CG10120,Men,Men,FBgn0002719,LD27718-dg,picdata/35/insitu67518_s.bmp,2,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77824_s.bmp,1,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77822_s.bmp,2,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77825_s.bmp,2,lateral,DV_inverted,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77818_s.bmp,3,lateral,AP_DV_inverted,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77823_s.bmp,3,dorsal,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77821_s.bmp,4,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77810_s.bmp,4,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77809_s.bmp,4,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77812_s.bmp,4,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77816_s.bmp,5,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77813_s.bmp,5,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77811_s.bmp,5,lateral,,low
CG10121,SP1173,SP1173,FBgn0035710,GH14073,picdata/34/insitu77817_s.bmp,5,lateral,,low
CG10125,zpg,zpg,FBgn0024177,RE18536,picdata/33/insitu18718_s.bmp,1,lateral,,low
CG10125,zpg,zpg,FBgn0024177,RE18536,picdata/33/insitu18723_s.bmp,1,lateral,,low
CG10125,zpg,zpg,FBgn0024177,RE18536,picdata/33/insitu18722_s.bmp,2,lateral,,low
CG10125,zpg,zpg,FBgn0024177,RE18536,picdata/33/insitu18713_s.bmp,2,lateral,,low
CG10125,zpg,zpg,FBgn0024177,RE18536,picdata/33/insitu18715_s.bmp,2,lateral,,low
CG10125,zpg,zpg,FBgn0024177,RE18536,picdata/33/insitu18714_s.bmp,4,lateral,,low
CG10126,CG10126,CG10126,FBgn0038088,GH22994,picdata/20/insitu10752_s.bmp,1,lateral,,low
CG10126,CG10126,CG10126,FBgn0038088,GH22994,picdata/20/insitu10754_s.bmp,2,lateral,DV_inverted,low
CG10126,CG10126,CG10126,FBgn0038088,GH22994,picdata/20/insitu10753_s.bmp,5,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77824_s.bmp,1,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77822_s.bmp,2,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77825_s.bmp,3,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77818_s.bmp,4,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77823_s.bmp,5,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77821_s.bmp,5,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77810_s.bmp,6,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77809_s.bmp,6,lateral,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77812_s.bmp,6,,,high
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77816_s.bmp,6,dorsal,,low
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77813_s.bmp,6,,,high
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77811_s.bmp,6,,,high
CG10128,tra2,tra2,FBgn0003742,SD04329-dg,picdata/18/insitu77817_s.bmp,6,dorsal,,low
CG10130,Sec61beta,Sec61beta,FBgn0010638,RH61539,picdata/27/insitu38488_s.bmp,1,lateral,,low
CG10130,Sec61beta,Sec61beta,FBgn0010638,RH61539,picdata/27/insitu38490_s.bmp,2,lateral,,low
CG10130,Sec61beta,Sec61beta,FBgn0010638,RH61539,picdata/27/insitu38489_s.bmp,2,lateral,,low
CG10132,CG10132,CG10132,FBgn0032798,LP04395,picdata/9/insitu67517_s.bmp,1,lateral,,low
CG10132,CG10132,CG10132,FBgn0032798,LP04395,picdata/9/insitu67519_s.bmp,1,lateral,,low
CG10132,CG10132,CG10132,FBgn0032798,LP04395-tf,picdata/9/insitu67518_s.bmp,1,lateral,,low
CG10133,CG10133,CG10133,FBgn0036366,GH14974-dg,picdata/29/insitu26196_s.bmp,6,lateral,,low
CG10133,CG10133,CG10133,FBgn0036366,GH14974-dg,picdata/29/insitu26197_s.bmp,1,,,
CG10133,CG10133,CG10133,FBgn0036366,GH14974-dg,picdata/29/insitu26195_s.bmp,1,,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17610_s.bmp,1,dorsal,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17612_s.bmp,1,dorsal,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17613_s.bmp,1,dorsal,,
CG10134,beat-Va,beat-Va,FBgn0038087,IP01704,picdata/11/insitu17611_s.bmp,2,dorsal,,
CG10137,CG10137,CG10137,FBgn0032800,GH24474-dg,picdata/42/insitu38488_s.bmp,6,lateral,,
CG10137,CG10137,CG10137,FBgn0032800,GH24474-dg,picdata/42/insitu38490_s.bmp,6,ventral,,
CG10137,CG10137,CG10137,FBgn0032800,GH24474-dg,picdata/42/insitu38489_s.bmp,1,,,
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18718_s.bmp,1,lateral,,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18723_s.bmp,2,lateral,,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18722_s.bmp,2,lateral,,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18713_s.bmp,3,lateral,AP_inverted,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18715_s.bmp,4,dorsal,AP_inverted,low
CG10138,PpD5,PpD5,FBgn0005778,GH12873,picdata/7/insitu18714_s.bmp,4,lateral,,low
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65915_s.bmp,1,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65917_s.bmp,2,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65916_s.bmp,3,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65918_s.bmp,3,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65925_s.bmp,4,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65923_s.bmp,4,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65921_s.bmp,5,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65926_s.bmp,6,lateral,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65924_s.bmp,6,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65919_s.bmp,1,dorsal,,
CG10140,CG10140,CG10140,FBgn0036363,IP06701,picdata/16/insitu65920_s.bmp,1,dorsal,,
CG10142,Ance-5,Ance-5,FBgn0035076,FI09601,picdata/45/insitu11536_s.bmp,1,lateral,,
CG10142,Ance-5,Ance-5,FBgn0035076,FI09601,picdata/45/insitu11535_s.bmp,2,lateral,,
CG10142,Ance-5,Ance-5,FBgn0035076,FI09601,picdata/45/insitu11537_s.bmp,3,lateral,,
CG10142,Ance-5,Ance-5,FBgn0035076,FI09601,picdata/45/insitu11539_s.bmp,5,lateral,,
CG10142,Ance-5,Ance-5,FBgn0035076,FI09601,picdata/45/insitu11541_s.bmp,6,ventral,,
CG10142,Ance-5,Ance-5,FBgn0035076,FI09601,picdata/45/insitu11538_s.bmp,1,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65915_s.bmp,2,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65917_s.bmp,2,dorsal,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65916_s.bmp,2,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65918_s.bmp,2,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65925_s.bmp,3,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65923_s.bmp,3,dorsal,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65921_s.bmp,3,dorsal,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65926_s.bmp,3,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65924_s.bmp,3,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65919_s.bmp,4,lateral,,low
CG10145,mspo,mspo,FBgn0020269,RE52725,picdata/6/insitu65920_s.bmp,5,lateral,,low
CG10147,CG10147,CG10147,,IP01005,picdata/28/insitu34812_s.bmp,1,lateral,,
CG10147,CG10147,CG10147,,IP01005,picdata/28/insitu34814_s.bmp,1,lateral,,
CG10147,CG10147,CG10147,,IP01005,picdata/28/insitu34816_s.bmp,1,lateral,,
CG10147,CG10147,CG10147,,IP01005,picdata/28/insitu34811_s.bmp,1,lateral,,
CG10147,CG10147,CG10147,,IP01005,picdata/28/insitu34813_s.bmp,1,lateral,,
CG10147,CG10147,CG10147,,IP01005,picdata/28/insitu34817_s.bmp,2,lateral,,
CG10147,CG10147,CG10147,,IP01005,picdata/28/insitu34815_s.bmp,3,dorsal,,
CG10149,Rpn6,Rpn6,FBgn0028689,PC00102,picdata/17/insitu18718_s.bmp,1,lateral,,
CG10149,Rpn6,Rpn6,FBgn0028689,PC00102,picdata/17/insitu18723_s.bmp,2,,,
CG10149,Rpn6,Rpn6,FBgn0028689,PC00102,picdata/17/insitu18722_s.bmp,2,,,
CG10149,Rpn6,Rpn6,FBgn0028689,PC00102,picdata/17/insitu18713_s.bmp,3,,,
CG10149,Rpn6,Rpn6,FBgn0028689,PC00102,picdata/17/insitu18715_s.bmp,4,,,
CG10149,Rpn6,Rpn6,FBgn0028689,PC00102,picdata/17/insitu18714_s.bmp,5,lateral,,
CG10151,CG10151,CG10151,FBgn0033960,GH05433,picdata/10/insitu10752_s.bmp,1,lateral,,low
CG10151,CG10151,CG10151,FBgn0033960,GH05433,picdata/10/insitu10754_s.bmp,3,lateral,,low
CG10151,CG10151,CG10151,FBgn0033960,GH05433,picdata/10/insitu10753_s.bmp,3,lateral,AP_inverted,low
CG10153,CG10153,CG10153,FBgn0033962,GH17639-dg,picdata/1/insitu17734_s.bmp,1,,,
CG10153,CG10153,CG10153,FBgn0033962,GH17639-dg,picdata/1/insitu17733_s.bmp,1,,,
CG10038,CG10038,CG10038,FBgn0038013,LD19518-RD,picdata/19/insitu67517_s.bmp,1,lateral,,
CG10038,CG10038,CG10038,FBgn0038013,LD19518-RD,picdata/19/insitu67519_s.bmp,2,lateral,,
CG10038,CG10038,CG10038,FBgn0038013,LD19518-RD,picdata/19/insitu67518_s.bmp,2,lateral,,
CG10039,CG10039,CG10039,FBgn0031581,IP21803,picdata/26/insitu17610_s.bmp,1,lateral,,low
CG10039,CG10039,CG10039,FBgn0031581,IP21803,picdata/26/insitu17612_s.bmp,2,dorsal,,low
CG10039,CG10039,CG10039,FBgn0031581,IP21803,picdata/26/insitu17613_s.bmp,3,lateral,,low
CG10039,CG10039,CG10039,FBgn0031581,IP21803,picdata/26/insitu17611_s.bmp,4,lateral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77824_s.bmp,1,lateral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77822_s.bmp,2,ventral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77825_s.bmp,2,lateral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77818_s.bmp,2,lateral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77823_s.bmp,2,,,high
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77821_s.bmp,2,,,high
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77810_s.bmp,2,,,high
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77809_s.bmp,2,ventral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77812_s.bmp,2,ventral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77816_s.bmp,2,lateral,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77813_s.bmp,2,dorsal,,low
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77811_s.bmp,2,,,high
CG1004,rho,rho,FBgn0004635,LD06131-dg,picdata/8/insitu77817_s.bmp,2,,,high
CG10042,MBD-R2,MBD-R2,FBgn0038016,SD10773-TF,picdata/21/insitu17734_s.bmp,1,lateral,,
CG10042,MBD-R2,MBD-R2,FBgn0038016,SD10773-TF,picdata/21/insitu17733_s.bmp,2,lateral,,
CG10043,rtGEF,rtGEF,FBgn0015803,GH28580,picdata/44/insitu26196_s.bmp,1,lateral,,
CG10043,rtGEF,rtGEF,FBgn0015803,GH28580,picdata/44/insitu26197_s.bmp,1,lateral,,
CG10043,rtGEF,rtGEF,FBgn0015803,GH28580,picdata/44/insitu26195_s.bmp,1,lateral,,
CG10045,GstD1,GstD1,FBgn0001149,RH47312,picdata/43/insitu34812_s.bmp,1,lateral,,low
CG10045,GstD1,GstD1,FBgn0001149,RH47312,picdata/43/insitu34814_s.bmp,1,lateral,,low
CG10045,GstD1,GstD1,FBgn0001149,RH47312,picdata/43/insitu34816_s.bmp,2,dorsal,,low
CG10045,GstD1,GstD1,FBgn0001149,RH47312,picdata/43/insitu34811_s.bmp,2,lateral,,low
CG10045,GstD1,GstD1,FBgn0001149,RH47312,picdata/43/insitu34813_s.bmp,2,lateral,,low
CG10045,GstD1,GstD1,FBgn0001149,RH47312,picdata/43/insitu34817_s.bmp,3,lateral,,low
CG10045,GstD1,GstD1,FBgn0001149,RH47312,picdata/43/insitu34815_s.bmp,3,lateral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38832.jpe,1,lateral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38833.jpe,2,dorsal,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38834.jpe,4,lateral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38835.jpe,5,lateral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38836.jpe,6,lateral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38837.jpe,6,ventral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38838.jpe,6,ventral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38839.jpe,6,,,high
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38840.jpe,6,,,high
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38841.jpe,6,lateral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38842.jpe,6,lateral,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38843.jpe,6,dorsal,,low
CG10047,SytIV,SytIV,FBgn0028400,RE67111,img_dir_38/insitu38844.jpe,6,ventral,,low
CG10050,CG10050,CG10050,FBgn0037492,RE31178,picdata/38/insitu28957_s.bmp,1,lateral,,low
CG10050,CG10050,CG10050,FBgn0037492,RE31178,picdata/38/insitu28955_s.bmp,1,lateral,,low
CG10050,CG10050,CG10050,FBgn0037492,RE31178,picdata/38/insitu24954_s.bmp,1,lateral,,low
CG10050,CG10050,CG10050,FBgn0037492,RE31178,picdata/38/insitu24953_s.bmp,1,lateral,,low
CG10050,CG10050,CG10050,FBgn0037492,RE31178,picdata/38/insitu28956_s.bmp,1,lateral,,low
CG10052,Rx,Rx,FBgn0020617,RE39020,picdata/36/insitu10752_s.bmp,1,lateral,,low
CG10052,Rx,Rx,FBgn0020617,RE39020,picdata/36/insitu10754_s.bmp,2,lateral,,low
CG10052,Rx,Rx,FBgn0020617,RE39020,picdata/36/insitu10753_s.bmp,2,dorsal,,low
CG10053,CG10053,CG10053,FBgn0037490,LD46678-IR,picdata/30/insitu11536_s.bmp,1,dorsal,,
CG10053,CG10053,CG10053,FBgn0037490,LD46678-IR,picdata/30/insitu11535_s.bmp,1,lateral,,
CG10053,CG10053,CG10053,FBgn0037490,LD46678-IR,picdata/30/insitu11537_s.bmp,2,lateral,,
CG10053,CG10053,CG10053,FBgn0037490,LD46678-IR,picdata/30/insitu11539_s.bmp,2,dorsal,,
CG10053,CG10053,CG10053,FBgn0037490,LD46678-IR,picdata/30/insitu11541_s.bmp,2,dorsal,,
CG10053,CG10053,CG10053,FBgn0037490,LD46678-IR,picdata/30/insitu11538_s.bmp,3,dorsal,,
CG10059,MAGE,MAGE,FBgn0037481,RE25453,picdata/37/insitu21988_s.bmp,1,lateral,,low
CG10059,MAGE,MAGE,FBgn0037481,RE25453,picdata/37/insitu21985_s.bmp,2,lateral,,low
CG10059,MAGE,MAGE,FBgn0037481,RE25453,picdata/37/insitu21987_s.bmp,2,lateral,,low
CG10059,MAGE,MAGE,FBgn0037481,RE25453,picdata/37/insitu21986_s.bmp,3,lateral,AP_inverted,low
CG10059,MAGE,MAGE,FBgn0037481,RE25453,picdata/37/insitu21984_s.bmp,4,dorsal,,low
CG10060,G-ialpha65A,G-ialpha65A,FBgn0001104,LD22201-dg,picdata/41/insitu17610_s.bmp,1,lateral,,low
CG10060,G-ialpha65A,G-ialpha65A,FBgn0001104,LD22201-dg,picdata/41/insitu17612_s.bmp,2,lateral,,low
CG10060,G-ialpha65A,G-ialpha65A,FBgn0001104,LD22201-dg,picdata/41/insitu17613_s.bmp,3,lateral,,low
CG10060,G-ialpha65A,G-ialpha65A,FBgn0001104,LD22201-dg,picdata/41/insitu17611_s.bmp,4,lateral,,low
CG1009,Psa,Psa,FBgn0035226,PC00100,picdata/39/insitu20892_s.bmp,4,,,
CG1009,Psa,Psa,FBgn0035226,PC00100,picdata/39/insitu17745_s.bmp,4,,,
CG1009,Psa,Psa,FBgn0035226,PC00100,picdata/39/insitu21983_s.bmp,5,dorsal,,
CG1009,Psa,Psa,FBgn0035226,PC00100,picdata/39/insitu17743_s.bmp,5,lateral,,
